,borough,location_i,objectid,shape_area,shape_length,zone,arcs,type_x,type_y,transform_scale,transform_translate,object_type
72,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,36.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
73,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,36.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
74,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,37.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
75,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,37.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
76,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,38.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
77,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,38.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
78,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,39.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
79,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,39.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
80,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,40.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
81,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,40.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
82,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,41.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
83,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,41.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
84,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,42.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
85,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,42.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
